1720573017.108625 server started (1673238): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1720573017.108675 on Linux 6.9.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 21 Jun 2024 19:49:19 +0000
1720573017.108690 using libevent 2.1.12-stable poll
1720573017.108697 using ncurses 6.5 20240427
1720573017.108822 input_key_build: 0x10e003 (PasteStart) is \033[200~
1720573017.108833 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1720573017.108843 input_key_build: 0x10e195 (F1) is \033OP
1720573017.108850 input_key_build: 0x10e196 (F2) is \033OQ
1720573017.108856 input_key_build: 0x10e197 (F3) is \033OR
1720573017.108862 input_key_build: 0x10e198 (F4) is \033OS
1720573017.108869 input_key_build: 0x10e199 (F5) is \033[15~
1720573017.108875 input_key_build: 0x10e19a (F6) is \033[17~
1720573017.108887 input_key_build: 0x10e19b (F7) is \033[18~
1720573017.108898 input_key_build: 0x10e19c (F8) is \033[19~
1720573017.108905 input_key_build: 0x10e19d (F9) is \033[20~
1720573017.108911 input_key_build: 0x10e19e (F10) is \033[21~
1720573017.108918 input_key_build: 0x10e19f (F11) is \033[23~
1720573017.108924 input_key_build: 0x10e1a0 (F12) is \033[24~
1720573017.108931 input_key_build: 0x10e1a1 (IC) is \033[2~
1720573017.108937 input_key_build: 0x10e1a2 (DC) is \033[3~
1720573017.108943 input_key_build: 0x10e1a3 (Home) is \033[1~
1720573017.108950 input_key_build: 0x10e1a4 (End) is \033[4~
1720573017.108957 input_key_build: 0x10e1a5 (NPage) is \033[6~
1720573017.108964 input_key_build: 0x10e1a6 (PPage) is \033[5~
1720573017.108970 input_key_build: 0x10e1a7 (BTab) is \033[Z
1720573017.108977 input_key_build: 0x10e1a8 (Up) is \033[A
1720573017.108983 input_key_build: 0x10e1a9 (Down) is \033[B
1720573017.108991 input_key_build: 0x10e1aa (Left) is \033[D
1720573017.109002 input_key_build: 0x10e1ab (Right) is \033[C
1720573017.109008 input_key_build: 0x10e1ac (KP/) is /
1720573017.109015 input_key_build: 0x10e1ad (KP*) is *
1720573017.109026 input_key_build: 0x10e1ae (KP-) is -
1720573017.109037 input_key_build: 0x10e1af (KP7) is 7
1720573017.109043 input_key_build: 0x10e1b0 (KP8) is 8
1720573017.109049 input_key_build: 0x10e1b1 (KP9) is 9
1720573017.109060 input_key_build: 0x10e1b2 (KP+) is +
1720573017.109066 input_key_build: 0x10e1b3 (KP4) is 4
1720573017.109073 input_key_build: 0x10e1b4 (KP5) is 5
1720573017.109084 input_key_build: 0x10e1b5 (KP6) is 6
1720573017.109091 input_key_build: 0x10e1b6 (KP1) is 1
1720573017.109097 input_key_build: 0x10e1b7 (KP2) is 2
1720573017.109103 input_key_build: 0x10e1b8 (KP3) is 3
1720573017.109113 input_key_build: 0x10e1b9 (KPEnter) is \n
1720573017.109120 input_key_build: 0x10e1ba (KP0) is 0
1720573017.109126 input_key_build: 0x10e1bb (KP.) is .
1720573017.109137 input_key_build: 0x200000000009 (C-Tab) is \t
1720573017.109143 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1720573017.109150 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1720573017.109157 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1720573017.109164 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1720573017.109170 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1720573017.109177 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1720573017.109184 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1720573017.109191 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1720573017.109198 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1720573017.109205 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1720573017.109217 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1720573017.109228 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1720573017.109235 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1720573017.109243 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1720573017.109254 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1720573017.109267 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1720573017.109274 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1720573017.109286 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1720573017.109293 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1720573017.109315 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1720573017.109322 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1720573017.109329 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1720573017.109336 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1720573017.109343 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1720573017.109353 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1720573017.109359 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1720573017.109366 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1720573017.109376 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1720573017.109383 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1720573017.109390 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1720573017.109396 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1720573017.109402 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1720573017.109413 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1720573017.109420 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1720573017.109442 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1720573017.109451 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1720573017.109462 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1720573017.109474 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1720573017.109481 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1720573017.109488 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1720573017.109496 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1720573017.109505 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1720573017.109511 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1720573017.109518 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1720573017.109525 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1720573017.109532 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1720573017.109539 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1720573017.109545 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1720573017.109555 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1720573017.109562 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1720573017.109569 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1720573017.109579 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1720573017.109585 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1720573017.109592 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1720573017.109602 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1720573017.109609 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1720573017.109616 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1720573017.109630 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
